,후기
0,샤워실 분위기를 바꾸기에 최고
1,한가지 색으로 하기보다는 역시 여러가지로하는게 이뻐용ㅎㅎ
2,한가지 색으로 하기보다는 역시 여러가지로하는게 이뻐용ㅎㅎ
3,화장실도 이뻐보이고 만족하며 사용중
4,화장실 분위기가 화사해졌어요!
5,그린이후에 두번째구입
6,늘 쓰던거라 제품은 괜찮은데샤워기 커버 안에 나중에 곰팡이 생기면 어떡하지요?
7,색상이 아주 산뜻 해 바꿔 봅니다
8,색깔 상큼하니 예뻐요
9,이뻐졋어용 화장실이 힣
10,이쁘네요배송 빠르고 잘 사용할께요
11,엄청 귀여워요 노란색
12,끼울 때 약간 빡빡하긴 했는데 그래도 끼워두니 색상이 쨍하고 너무 맘에 듭니다. 끼우고 나니 약간 더 무거워지긴 했구요. 호스도 같이 살걸 후회중이에요
13,샤워기헤드에 자꾸 손상이 가서 샤워할 때 가끔 긁히기도 하고 청소하면서도 그래서 주기적으로 바꾸는데 이번엔 커버도 사봣어요. 커버가 있어서 분위기도 바꿔주긴 하지만 저는 샤워기헤드에 보호막 친 기분이라 더 좋아요.보드랍고 깨끗하고 좋습니다.
14,여러가지 제품을 고민하다 구매결정하게 되었는데 역시나 너무 좋아요! 삶이 달라집니다!
15,여러가지 제품을 고민하다 구매결정하게 되었는데 역시나 너무 좋아요! 삶이 달라집니다!
16,제가 좋아하는 보라색이라 바로 구매했어요설치도 쉽고 색감이 너무 예뻐요!!!정말 마음에 듭니다!
17,항상 주문하는거예요 ㅎㅎ 깨져서 하나더 주문했습니다 잘사용하겠습니다 ㅎㅎ
18,한달사용후기. 집에 오는 사람마다 예쁘다고요. 욕실 사용할때마다 기분이 좋아져요. 포인트로 좋고요. 어린 아이 있는집 추천합니다.
19,처음엔 호스만 샀더니 가족들이 별로다 이랬는데 샤워기 커버까지하니 이뻐졌다고하네요.
20,너무이뻐요 씻을때도 기분좋아영
21,"구입하고 바로 세일하길래 취소, 재결제 하려고 했는데 배송준비중ㅜㅜ 그런데 정작 배송은 좀 걸렸고;;그래도 설치하고 나니 기분전환 되네요ㅋ 기존에 바디럽 미니언즈 샤워기 사용했는데 교체한다고 막내가 좀 아쉬워 하긴 하지만 사진보다 더 예쁘고 깔끔해요"
22,상품 배송 맘에듭니다  설치도 50중반에 아줌아 혼자서도 쉽게했어요 넘 이쁩니다
23,넘 예쁜 샤워기기대 이상이에요 넘 이쁘고 설치도 50대중반 아줌 혼자서도 쉽게 할수있고  넘 맘에듭니다
24,안방화장실 헤드가 망가져서 구매햇는데예뻐서 거실화장실것도 추가 구매햇습니다예뻐요
25,예뻐서 추가구매햇습니다
26,이전에 필터 있는 샤워기 쓰면서 자꾸 바닥에 부딪히고 깨지고 하는게 싫어서 필터 없는 스탠 샤워기를 썻더니 이번엔 녹물이 감당이 안되서 바디럽으로 바꿨어요.  샤워기 커버 씌우니 욕실 분위기도 훨씬 산뜻해지고 좋네요.  딱 좋아하는 연보라색입니다.
27,"기존에도 퓨어썸 샤워호스를 쓰고 있었는데, 샤워기를 새로 사면서 교체하려니까 호스가 오래되서 분리가 안되길래 겸사겸사 새로 구매했습니다ㅎㅎ 이제 호스도 컬러가 생겼네요 깔끔하고 좋아요"
28,완전 최고에요 최고
29,"집들이 선물로 샀는데, 받은 분이 너무 마음에 들어해서 뿌듯했어요.커버가 색깔도 너무 예쁘지만, 실리콘 재질이라 떨어트리더라도 망가지지 않을 것 같아요.우리집 샤워기도 커버 씌워줘야겠어요:)"
30,진작살걸그랬어여 잘못떨어뜨려깨지고나서 샀는데 최고^^
31,깔끔하게 잘 쓰고있습니다
32,믿고 쓰는 바디럽 항상 애용합니다
33,예쁘고 좋네요. 화장실 분위기가 살아요
34,만족 이쁘네요이사준비로 미리 세팅했어요
35,믿고 쓰는 바디럽 항상 애용합니다.
36,부모님댁 샤워기를 바꿔드렸는데너무 이쁘다고 맘에 들어하십니다
37,끼는게 조금 힘들었는데 잘 쓰고 있습니다
38,기존에 샀던 호수줄이 짧아서 더 긴걸로 주문했어요 호수가 가볍고 꼬이지도 않고 이쁘고 깔별로 사고파요 ㅎㅎ
39,우리집 샤워기 변신했네요.3가지 색상으로 섞어 끼워놓으니 좋네요^^화장실이 알록달록 포인트가되서 예뻐요~~
40,알록달록 예뻐용 화장실이 환해졌어욤
41,색상이 쨍한 파스텔톤이어서 포인트로 좋아요! 그립감도 좋아요
42,호스가 생각보다 짧으서 놀랐는데 써보니가 오히려 가벼워서 좋네요
43,벽이 옐로우 컬러가 있어서인가 산뜻하게 착붙그전보다 공간까지 화사해 보이는데 마음에 쏙 든다!
44,컬러풀한 욕실로 가장 쉽게 리모델링 하는 방법!
45,"샤워호스는 매끄러운 표면이라 세척하기 쉽고, 꼬임방지 특허기술로 절대 꼬이지 않는답니다"
46,샤워수압도 더 좋아진 것 같은 느낌이라 예전보다 샤워시간이 더 즐거워졌는데요
47,빠른배송과 실물이 훨씬 색감이 좋아서 만족합니다
48,그립감도 좋고요 손잡이도 커서 잡기좋습니다욕실에 확뛰는 색상이네요
49,색감이 너무 예뻐요:)기존 수전은 물 수압이 약했는데 퓨어썸으로 갈아끼우니깐 수압도 세지고 좋아요
